,operator,market_level_route,cartel_dummy
1,AAEL,Transatlantic,noncartel
2,ABC Container Line,All routes,noncartel
3,ABC Container Line,Transatlantic,noncartel
4,ACTA/ANL,Asia and Europe,noncartel
5,Admiral Lines,Asia and Europe,noncartel
6,Admiral Shipping,Asia and Europe,noncartel
7,Alianca,Transatlantic,noncartel
8,American Export Lines,Transatlantic,noncartel
9,American Export Lines,Transpacific,noncartel
10,American Mail Line,Transpacific,noncartel
11,American President Lines,Transpacific,cartel
12,AmTrans,Transatlantic,noncartel
13,ARPA Shpp,Transatlantic,noncartel
14,Atkabtuca SpA,Transatlantic,noncartel
15,Atlantic Cargo Service,Transatlantic,noncartel
16,Atlantic Container Line,Transatlantic,cartel
17,Atlantic Lash,Transatlantic,noncartel
18,Atlanttrafik/Barber Blue Sea,Transpacific,cartel
19,Baltatlantic,Transatlantic,noncartel
20,Baltic Shipping Co,Transatlantic,noncartel
21,Bank Line,Transatlantic,noncartel
22,Bank Line,Transpacific,noncartel
23,Barber Blue Sea Line,Transpacific,cartel
24,BCL,Transatlantic,noncartel
25,Ben Line,Asia and Europe,noncartel
26,Blasco,Asia and Europe,noncartel
27,Blasco,Transatlantic,noncartel
28,Blatic Shipping Co,Transatlantic,noncartel
29,Blue Funnel Kine,Asia and Europe,noncartel
30,Booker Line,Transatlantic,noncartel
31,Booth,Transatlantic,noncartel
32,Brisa,Transatlantic,noncartel
33,BSC,Asia and Europe,noncartel
34,BSC,Transatlantic,noncartel
35,Canisa,Transpacific,noncartel
36,Canmar,Transatlantic,noncartel
37,Canmar/OOCL,Transatlantic,cartel
38,Caribtainer,Transatlantic,noncartel
39,Cast Line,Transatlantic,noncartel
40,CC Line,Transpacific,noncartel
41,CCL,Transatlantic,noncartel
42,CCNI,Transatlantic,noncartel
43,CCNI,Transpacific,noncartel
44,CD,Transatlantic,noncartel
45,Chargeurs Reunis,Asia and Europe,cartel
46,Chipolbrok,Asia and Europe,noncartel
47,Cho Yang,Asia and Europe,noncartel
48,Cia Transatlantica Espanola,Transatlantic,noncartel
49,Ciamar,Transatlantic,noncartel
50,Cie Generale Maritime,Asia and Europe,cartel
51,Cie Generale Maritime,Transatlantic,cartel
52,CMA,Asia and Europe,noncartel
53,CMB,Asia and Europe,noncartel
54,CMB,Transatlantic,noncartel
55,Combi Line,Transatlantic,noncartel
56,Conship,Asia and Europe,noncartel
57,Constellation,Transatlantic,noncartel
58,Contemaris,Transatlantic,noncartel
59,Contenemar,Transatlantic,noncartel
60,Contract Marine Carriers,Transatlantic,noncartel
61,Contship,Asia and Europe,noncartel
62,Contship,Transatlantic,noncartel
63,Cosco,Asia and Europe,noncartel
64,Cosco,Transpacific,noncartel
65,CP Ships,Transatlantic,cartel
66,CPV,Transpacific,noncartel
67,CSAV,Transatlantic,noncartel
68,CSAV,Transpacific,noncartel
69,CSC,Asia and Europe,noncartel
70,CTC,Transatlantic,noncartel
71,d'Amico,Transatlantic,cartel
72,Dannebrog,Transatlantic,noncartel
73,Dart Containerline,Transatlantic,cartel
74,Deppe,Transatlantic,noncartel
75,Deutsche Afrika-Linien,Transatlantic,noncartel
76,DFDS,Transatlantic,noncartel
77,DL,Asia and Europe,noncartel
78,DSR,Asia and Europe,cartel
79,EAC,Asia and Europe,cartel
80,EAC,Transpacific,cartel
81,EAC West Africa,Transatlantic,cartel
82,Eimskip,Transatlantic,noncartel
83,EISC,Asia and Europe,noncartel
84,Elma,Transatlantic,noncartel
85,Elma,Transpacific,noncartel
86,Empremar,Transatlantic,noncartel
87,ENC,Asia and Europe,noncartel
88,Euro-Gulf,Transatlantic,noncartel
89,Eurobridge Lines,Transatlantic,noncartel
90,Europe Paraguay,Transatlantic,noncartel
91,Eurosal,Transatlantic,noncartel
92,Evergreen,All routes,noncartel
93,Evergreen,Asia and Europe,noncartel
94,Evergreen,Transatlantic,noncartel
95,Evergreen,Transpacific,noncartel
96,EWL,Transatlantic,noncartel
97,Falline,Transatlantic,noncartel
98,Farrell Lines,Transatlantic,cartel
99,Farrell Lines,Transpacific,cartel
100,Fesco,Transpacific,noncartel
101,Finland Steamship,Asia and Europe,noncartel
102,Finnlines,Transatlantic,noncartel
103,Franco-Belgian Services,Asia and Europe,noncartel
104,Fred Olsen,Transatlantic,noncartel
105,Frigo,Transatlantic,noncartel
106,Frota Oceanica,Transpacific,noncartel
107,Galleon,Transpacific,cartel
108,GBCS,Transpacific,noncartel
109,Grancolombiana,All routes,noncartel
110,Grancolombiana,Transatlantic,noncartel
111,Great Eastern Shipping Corp,Transpacific,noncartel
112,Grimaldi,Transatlantic,noncartel
113,GSAL,Transatlantic,noncartel
114,Gulf Container,Transatlantic,noncartel
115,Hamburg-Sud,Transatlantic,noncartel
116,Hanjin,Asia and Europe,noncartel
117,Hanjin,Transpacific,noncartel
118,Hapag-Lloyd,Asia and Europe,cartel
119,Hapag-Lloyd,Transatlantic,cartel
120,Hapag-Lloyd,Transpacific,cartel
121,Harrison Line,Transatlantic,noncartel
122,Havenlijn,Transatlantic,noncartel
123,Hellenic Lines,Transpacific,cartel
124,Hoegh,Transpacific,noncartel
125,Hoegh Lines,Transatlantic,noncartel
126,Hoegh Lines,Transpacific,noncartel
127,Hong Kong Cont Line,Asia and Europe,noncartel
128,Hyundai,Transpacific,noncartel
129,Ibero Lines,Transatlantic,cartel
130,Ibertrans,Transatlantic,noncartel
131,Iino Line,Transpacific,noncartel
132,Incotrans,Transatlantic,noncartel
133,Independent,Transatlantic,noncartel
134,India SS,Asia and Europe,noncartel
135,Italia,Transatlantic,noncartel
136,Italia SpA,Transatlantic,noncartel
137,Jadroplov,Transatlantic,noncartel
138,Japanese joint service,Transpacific,cartel
139,Johnson-Scanstar,Transatlantic,noncartel
140,Johnson Line,Transatlantic,noncartel
141,Joon Liner,Transatlantic,noncartel
142,Jugolinija,Asia and Europe,cartel
143,Jugolinija,Transatlantic,cartel
144,K-Line,Asia and Europe,cartel
145,K-Line,Transpacific,cartel
146,Kent Line,Transatlantic,noncartel
147,KNSM,Transatlantic,noncartel
148,Knutsen Line,Transpacific,cartel
149,Korea Marine Trans/NYK,Transpacific,cartel
150,KSC,Asia and Europe,noncartel
151,KSC,Transpacific,noncartel
152,Kyowa,Transpacific,noncartel
153,Laser Lines,Transatlantic,noncartel
154,Lash Carriers,Transatlantic,noncartel
155,Latvian Shipping Co,Transatlantic,noncartel
156,Lauro,Transatlantic,noncartel
157,LB,Transatlantic,noncartel
158,LB,Transpacific,noncartel
159,Linabol,Transpacific,noncartel
160,LT,Asia and Europe,noncartel
161,Lykes Lines,Transatlantic,cartel
162,Lykes Lines,Transpacific,cartel
163,Maersk,All routes,cartel
164,Maersk,Asia and Europe,cartel
165,Maersk,Transatlantic,cartel
166,Maersk,Transpacific,cartel
167,Mambisa,Transatlantic,noncartel
168,Manchester Liners,Transatlantic,cartel
169,Marasia,Transatlantic,noncartel
170,Marfret,Asia and Europe,noncartel
171,Marfret,Transatlantic,noncartel
172,Maritime Container Line,Transatlantic,noncartel
173,Maruba,Transatlantic,noncartel
174,Matson,Transpacific,noncartel
175,Med-Club,Asia and Europe,noncartel
176,Merzario,Asia and Europe,noncartel
177,MFECS,Transpacific,noncartel
178,MISC,Asia and Europe,noncartel
179,Mitsui-OSK Line,Asia and Europe,noncartel
180,Mixte,Asia and Europe,noncartel
181,MOL,Asia and Europe,cartel
182,MOL,Transpacific,cartel
183,MOL/NYK,Transpacific,cartel
184,Montemar,Transatlantic,noncartel
185,Montreal Europe Nav,Transatlantic,noncartel
186,Montreal Shpp,Transatlantic,noncartel
187,Moore-McCormack Lines Inc,Transatlantic,noncartel
188,MSC,Asia and Europe,noncartel
189,MSC,Transatlantic,noncartel
190,Nav del Odiel,Transatlantic,noncartel
191,NCHP,Asia and Europe,noncartel
192,Nedlloyd,Asia and Europe,cartel
193,Nedlloyd,Transatlantic,cartel
194,Nedlloyd,Transpacific,cartel
195,Neptune Orient Lines,Asia and Europe,noncartel
196,Neptune Orient Lines,Transpacific,noncartel
197,New England Express Line,Transatlantic,noncartel
198,Nippon Liner,Transpacific,noncartel
199,Nissan,Transpacific,noncartel
200,NLS,Transpacific,noncartel
201,Norasia,Asia and Europe,noncartel
202,Norient Line,Asia and Europe,noncartel
203,NSCP,Transpacific,noncartel
204,NSCSA,Asia and Europe,noncartel
205,NYK,Asia and Europe,cartel
206,NYK,Transpacific,cartel
207,NYK/Showa,Transpacific,cartel
208,Occon Line,Asia and Europe,noncartel
209,Ocean Lines,Transatlantic,noncartel
210,OCL,Asia and Europe,noncartel
211,Omex,Asia and Europe,noncartel
212,OOCL,Asia and Europe,cartel
213,OOCL,Transatlantic,cartel
214,OOCL,Transpacific,cartel
215,OPDR,Transatlantic,noncartel
216,P&O Containers,Asia and Europe,noncartel
217,Pacific Far East Line,Transpacific,noncartel
218,Pacific Steam Nav Co,Transatlantic,noncartel
219,Phoenix Container Line,Transpacific,noncartel
220,PIL,Transpacific,noncartel
221,Pinillos,Transatlantic,noncartel
222,PNSC,Transpacific,noncartel
223,POL,Asia and Europe,noncartel
224,POL,Transatlantic,noncartel
225,POL,Transpacific,noncartel
226,Portline,Transatlantic,noncartel
227,Prudential Grace Line,Transatlantic,cartel
228,Prudential Lines,Transatlantic,noncartel
229,PSNC,Transatlantic,noncartel
230,Quayport Line,Transatlantic,noncartel
231,Rainbow,Transatlantic,noncartel
232,Rickmers,Asia and Europe,noncartel
233,Ro-Lo Pacific Line,Transpacific,noncartel
234,Samband,Transatlantic,noncartel
235,Samudera,Asia and Europe,noncartel
236,ScanDutch,Asia and Europe,cartel
237,ScanPacific Line,Transatlantic,cartel
238,SCI,All routes,noncartel
239,SCI,Asia and Europe,noncartel
240,SCI,Transpacific,noncartel
241,Scindia,Transpacific,noncartel
242,Sea-Land,Asia and Europe,cartel
243,Sea-Land,Transatlantic,cartel
244,Sea-Land,Transpacific,cartel
245,Seaboard Pacific Line,Transpacific,noncartel
246,Seas,Transatlantic,noncartel
247,Seatrain Lines,Transatlantic,noncartel
248,Seatrain Lines,Transpacific,noncartel
249,Seaway Express Lines,Transpacific,noncartel
250,Senator,All routes,noncartel
251,Sinotrans,Asia and Europe,noncartel
252,SMTM,Asia and Europe,noncartel
253,SNC,Asia and Europe,noncartel
254,Splosna Plovba,Transatlantic,cartel
255,Star Shipping,Transatlantic,noncartel
256,Star Shipping,Transpacific,noncartel
257,Surinam,Transatlantic,noncartel
258,Tecomar,Transatlantic,noncartel
259,TFH Line,Asia and Europe,noncartel
260,TFL,Transatlantic,noncartel
261,TMM,Transatlantic,noncartel
262,TMM,Transpacific,noncartel
263,Topgallant,Transatlantic,noncartel
264,Trans Freight Lines,Transatlantic,noncartel
265,Transmediterranea,Transatlantic,noncartel
266,Transnave,Transatlantic,noncartel
267,Transnave,Transpacific,noncartel
268,Transroll,Transatlantic,noncartel
269,Trasatlantica,Transatlantic,noncartel
270,Trikora,Asia and Europe,noncartel
271,TRIO,Asia and Europe,cartel
272,UAL,Transatlantic,noncartel
273,UASC,Transpacific,noncartel
274,Uiterwyck Lines,Transatlantic,noncartel
275,UMAG,Transatlantic,noncartel
276,Unimex/Deppe,Transatlantic,noncartel
277,United States Lines,Transatlantic,cartel
278,United States Lines,Transpacific,cartel
279,Unithai,Asia and Europe,noncartel
280,USSR,Transatlantic,noncartel
281,USSR,Transpacific,noncartel
282,Wan Hai,Asia and Europe,noncartel
283,Waterman,Transpacific,noncartel
284,WEC,Transatlantic,noncartel
285,Westwood,Transpacific,noncartel
286,Wilhelmsen Lines A/S,Asia and Europe,cartel
287,Y-S Line,Transatlantic,noncartel
288,Y-S Line,Transpacific,noncartel
289,Yangming,All routes,noncartel
290,Yangming,Transpacific,noncartel
291,Ybarra,Transatlantic,noncartel
292,Zim,All routes,cartel
293,Zim,Asia and Europe,cartel
294,Zim,Transatlantic,cartel
295,Zim,Transpacific,cartel
