,operator,market_level_route,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
1,d'Amico,Transatlantic,2,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7,7,7
2,Farrell Lines,Transatlantic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
3,Grancolombiana,Transatlantic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Lykes Lines,Transatlantic,4,4,4,5,6,6,6,E,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
5,Moore-McCormack Lines Inc,Transatlantic,6,E,6,6,6,X,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,Sea-Land,Transatlantic,4,E,4,4,7,8,10,11,15,17,17,17,17,17,17,17,17,17,17,21,29,29,29,29,29,29,29,29
7,Seatrain Lines,Transatlantic,6,7,14,15,E,16,19,22,22,22,22,24,24,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30
8,Star Shipping,Transatlantic,3,3,3,7,9,12,12,12,13,13,13,13,17,20,20,20,20,20,20,21,21,25,26,26,26,26,26,26
9,Farrell Lines,Transpacific,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,Galleon Shipping Corp,Transpacific,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11,Knutsen Line,Transpacific,1,1,1,1,1,2,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
12,Lykes Lines,Transpacific,4,4,4,4,4,4,4,4,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
13,Matson,Transpacific,2,2,2,2,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
14,Star Shipping,Transpacific,2,2,2,3,6,9,9,9,10,10,10,10,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
15,Jadroplov,Transatlantic,NA,1,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,Maersk,Europe and Asia,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,7,9,9,9,9,9,9
17,ScanDutch,Europe and Asia,NA,NA,1,1,1,1,1,4,8,9,9,12,13,13,14,14,14,14,17,19,19,20,20,20,20,20,20,20
18,Atlantic Container Line,Transatlantic,NA,NA,E,4,8,10,10,11,11,11,11,11,11,15,15,15,15,15,15,15,16,16,19,20,20,20,20,20
19,Baltic Shipping Co,Transatlantic,NA,NA,1,2,2,2,2,3,3,8,10,11,14,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17
20,Cie Generale Maritime,Transatlantic,NA,NA,1,1,1,1,1,1,1,1,1,2,4,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10
21,GSAL,Transatlantic,NA,NA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
22,Ybarra,Transatlantic,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
23,Hoegh Lines,Transpacific,NA,NA,1,3,3,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9
24,Maersk,Transpacific,NA,NA,E,3,4,4,4,7,7,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,Hapag-Lloyd,Transatlantic,NA,NA,NA,4,4,4,4,4,4,4,4,5,9,12,15,17,17,17,17,18,19,19,19,19,19,19,19,19
26,Manchester Liners,Transatlantic,NA,NA,NA,3,4,4,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
27,American Mail Line,Transpacific,NA,NA,NA,3,5,5,5,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
28,American President Lines,Transpacific,NA,NA,NA,4,8,8,8,22,25,25,25,25,25,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28
29,Japanese joint service,Transpacific,NA,NA,NA,6,7,10,12,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
30,NYK,Transpacific,NA,NA,NA,1,1,1,1,2,3,5,5,7,7,9,9,10,10,11,11,14,14,19,22,22,22,22,22,22
31,United States Lines,Transpacific,NA,E,NA,2,6,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
32,American Export Lines,Transatlantic,NA,E,NA,NA,4,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
33,Cast Line,Transatlantic,NA,NA,NA,NA,1,1,1,1,1,2,2,2,3,6,7,7,7,10,11,11,11,11,11,11,11,11,11,11
34,CP Ships,Transatlantic,NA,NA,NA,NA,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
35,Johnson-Scanstar,Transatlantic,NA,NA,NA,NA,2,4,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
36,Johnson Line,Transatlantic,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
37,Joon Liner,Transatlantic,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4
38,Marasia,Transatlantic,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,UAL,Transatlantic,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40,Uiterwyck Lines,Transatlantic,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
41,Great Eastern Shipping Corp,Transpacific,NA,NA,NA,NA,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
42,Yangming,Transpacific,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
43,Cosco,Europe and Asia,NA,NA,NA,NA,NA,1,3,5,6,6,6,6,6,6,8,8,9,13,16,20,27,30,30,30,30,30,30,30
44,MSC,Europe and Asia,NA,NA,NA,NA,NA,2,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
45,NCHP,Europe and Asia,NA,NA,NA,NA,NA,1,2,4,4,6,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
46,Atkabtuca SpA,Transatlantic,NA,NA,NA,NA,NA,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
47,Ciamar,Transatlantic,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
48,Dart Containerline,Transatlantic,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
49,Lash Carriers,Transatlantic,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,Lauro,Transatlantic,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,Prudential Grace Line,Transatlantic,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
52,Prudential Lines,Transatlantic,NA,NA,NA,NA,NA,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,Unimex/Deppe,Transatlantic,NA,NA,NA,NA,NA,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
54,United States Lines,Transatlantic,NA,NA,NA,NA,NA,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
55,Zim,Transatlantic,NA,NA,NA,NA,NA,1,1,E,2,2,2,3,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
56,Nedlloyd,Transpacific,NA,NA,NA,NA,NA,1,1,1,1,2,5,5,6,6,8,8,8,8,9,12,12,15,15,15,15,15,15,15
57,Seaway Express Lines,Transpacific,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
58,Zim,all_routes,NA,NA,NA,NA,NA,NA,2,6,8,8,8,8,11,11,11,11,14,15,15,15,15,15,15,15,15,15,15,15
59,NYK,Europe and Asia,NA,NA,NA,NA,NA,NA,1,1,1,3,3,5,5,6,7,10,10,10,12,12,12,12,12,14,14,14,14,14
60,Samudera,Europe and Asia,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,TRIO,Europe and Asia,NA,NA,NA,NA,NA,NA,1,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
62,Unithai,Europe and Asia,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
63,ABC Container Line,Transatlantic,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
64,Canmar,Transatlantic,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5
65,Cia Transatlantica Espanola,Transatlantic,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,Contenemar,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7
67,Finnlines,Transatlantic,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
68,Italia,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,3,4,4,4,5,5,5,5,5,5,7,7,7,7
69,Italia SpA,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,2,3,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
70,Nedlloyd,Transatlantic,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7
71,New England Express Line,Transatlantic,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
72,OOCL,Transatlantic,NA,NA,NA,NA,NA,NA,1,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
73,TMM,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,6,7,7,7,7,7,7
74,American Export Lines,Transpacific,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
75,Frota Oceanica,Transpacific,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5
76,Hanjin,Transpacific,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,5,9,9,10,10,10,10,10,16,17,18,19,19,19,19
77,Hellenic Lines,Transpacific,NA,NA,NA,NA,NA,NA,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
78,K-Line,Transpacific,NA,NA,NA,NA,NA,NA,3,3,3,4,4,5,8,9,9,9,9,11,11,11,11,15,18,18,18,18,18,18
79,KSC,Transpacific,NA,NA,NA,NA,NA,NA,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
80,OOCL,Transpacific,NA,NA,NA,NA,NA,NA,4,13,14,15,15,16,16,17,19,19,19,23,23,23,24,25,28,28,28,28,28,28
81,Pacific Far East Line,Transpacific,NA,NA,NA,NA,NA,NA,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
82,Phoenix Container Line,Transpacific,NA,NA,NA,NA,NA,NA,3,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10
83,SCI,Transpacific,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
84,Ben Line,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
85,EISC,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
86,Hapag-Lloyd,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,4,5,5,6,6,6,6,6,7,8,8,10,10,10,10
87,Jugolinija,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,4,5,6,7,8,8,8,8,8,8,8,8,8,8
88,Med-Club,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
89,Occon Line,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
90,OCL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,OOCL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,6,6,7,7,8,8,9,10,10,10,10,10,10,10,10,10,10,12,12,12,12
92,Zim,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,4,4,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11
93,Atlantic Lash,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,Booker Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
95,CSAV,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
96,Maritime Container Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
97,Pacific Steam Nav Co,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
98,Portline,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,Trasatlantica,Transatlantic,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
100,USSR,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,Fesco,Transpacific,NA,NA,NA,NA,NA,NA,NA,1,2,6,10,14,14,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
102,Hapag-Lloyd,Transpacific,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,Sea-Land,Transpacific,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,5,5,5,6,6,10,10,21,21,21,21,21,21,21,21
104,Seatrain Lines,Transpacific,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11
105,ACTA/ANL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,Blasco,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,7,7,7,10,11,13,14,16,17,17,17,17,17
107,Chipolbrok,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,7,7,9,9,10,13,15,17,17,17,17,19,20,20,20,20
108,Marfret,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,Neptune Orient Lines,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
110,POL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,6,6,7,10,10,10,10,10,10,10,10,10,11,12,12,12,12
111,Sea-Land,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
112,Baltatlantic,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,Bank Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
114,BCL,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,CCL,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,Combi Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
117,Eurosal,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
118,Falline,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
119,Jugolinija,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,5,6,9,10,14,14,14,14,14,14,16,16,16,16,16,16
120,Kent Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
121,Pinillos,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,5,7,7,7,8,9,9,9,9,9,9,9,9,9,9
122,POL,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,5,5,5,5,5,9,9,9,9,9,11,13,14,16,16,16,16
123,USSR,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
124,Waterman,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
125,Zim,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,MOL,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,4,4,5,5,5,5,5,5,5,6,6,6,6,6
127,MSC,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
128,Trans Freignt Lines,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
129,Y-S Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,Atlanttrafik/Barber Blue Sea,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
131,Cosco,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,9,9,9,9,9,13,15,15,15,16,16,16,16
132,K-Line,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
133,Blasco,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
134,BSC,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
135,Montemar,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4
136,Evergreen,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,13,16,18,18,18,18,18,24,24,24,24,24,24,24,24,24
137,Iino Line,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,Blue Funnel Kine,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,ENC,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
140,Franco-Belgian Services,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
141,Mixte,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,SCI,Europe and Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
143,Blatic Shipping Co,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
144,Contract Marine Carriers,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
145,Latvian Shipping Co,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,Nav del Odiel,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
147,ScanPacific Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,Splosna Plovba,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,8,8,8,9,9,11,11,11,11,11,11,11,11,11,11
149,Elma,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
